2026-03-01 20:12:51 | INFO     | __main__ | Запуск бота (bot_telegram.py) | log_file=C:\Python\PythonProject\GigaChat\Promtinginiring\Лекции\Промтинжениринг\PEr08. Практика ассистент по документации\RAG-ассистент по регламентам и правовым документам\bot_telegram.log
2026-03-01 20:12:51 | INFO     | __main__ | Токен бота загружен (длина=46)
2026-03-01 20:12:51 | DEBUG    | __main__ | Импорт telegram и telegram.ext выполнен
2026-03-01 20:12:51 | DEBUG    | telegram.ext.ExtBot | Set Bot API URL: https://api.telegram.org/bot7773316241:AAH94gWuCZ84MJb1-inRq5D9p1F4F05GL-c
2026-03-01 20:12:51 | DEBUG    | telegram.ext.ExtBot | Set Bot API File URL: https://api.telegram.org/file/bot7773316241:AAH94gWuCZ84MJb1-inRq5D9p1F4F05GL-c
2026-03-01 20:12:51 | INFO     | __main__ | Обработчики зарегистрированы: /start, текст сообщений
2026-03-01 20:12:51 | INFO     | __main__ | Polling запущен. Остановка: Ctrl+C
2026-03-01 20:12:51 | DEBUG    | asyncio | Using proactor: IocpProactor
2026-03-01 20:12:51 | DEBUG    | telegram.ext | Network Retry Loop (Bootstrap Initialize Application): Starting
2026-03-01 20:12:51 | DEBUG    | telegram.ext.ExtBot | Calling Bot API endpoint `getMe` with parameters `{}`
2026-03-01 20:12:51 | DEBUG    | httpcore.connection | connect_tcp.started host='api.telegram.org' port=443 local_address=None timeout=5.0 socket_options=None
2026-03-01 20:12:52 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000001D437FEEE60>
2026-03-01 20:12:52 | DEBUG    | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x000001D437E01540> server_hostname='api.telegram.org' timeout=5.0
2026-03-01 20:12:52 | DEBUG    | httpcore.connection | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000001D437FEDD50>
2026-03-01 20:12:52 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-01 20:12:52 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-03-01 20:12:52 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-01 20:12:52 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-03-01 20:12:52 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-01 20:12:52 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Sun, 01 Mar 2026 16:12:52 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'329'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
2026-03-01 20:12:52 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot7773316241:AAH94gWuCZ84MJb1-inRq5D9p1F4F05GL-c/getMe "HTTP/1.1 200 OK"
2026-03-01 20:12:52 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-03-01 20:12:52 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-03-01 20:12:52 | DEBUG    | httpcore.http11 | response_closed.started
2026-03-01 20:12:52 | DEBUG    | httpcore.http11 | response_closed.complete
